"group","LAD13CD","amount","year"
"Processed and Other Meat","E06000009",0.005772636,2010
"Processed Meat","E06000009",2.92393334,2010
"Red Meat","E06000009",1.311143573,2010
"Rice","E06000009",0.127008711,2010
"Sauces and spices","E06000009",0.082506632,2010
"Sugar confectionary and jam","E06000009",1.533383902,2010
"Takeaway","E06000009",1.633844958,2010
"Tea","E06000009",0.213195514,2010
"Tobacco","E06000009",2.121202378,2010
"Vegtables","E06000009",3.122021877,2010
"Alcohol at home","E06000010",2.951968912,2010
"Alcohol away from home","E06000010",2.882365062,2010
"Bread","E06000010",1.769238925,2010
"Butter","E06000010",0.149684409,2010
"Cakes puddings and pastry","E06000010",0.846958376,2010
"Coffee","E06000010",0.245649531,2010
"Eating out","E06000010",7.597886226,2010
"Eggs","E06000010",0.257462744,2010
"Fish","E06000010",0.881109407,2010
"Fruit","E06000010",1.54166534,2010
"Milk products","E06000010",2.537775647,2010
"Non alcoholic drinks","E06000010",1.261158664,2010
"Oils and fats","E06000010",0.324835301,2010
"Other","E06000010",1.141821702,2010
"Pasta","E06000010",0.171523192,2010
"Poultry","E06000010",0.776137556,2010
"Processed and Other Meat","E06000010",0.005431826,2010
"Processed Meat","E06000010",2.66880943,2010
"Red Meat","E06000010",1.166242974,2010
"Rice","E06000010",0.123491938,2010
"Sauces and spices","E06000010",0.076532645,2010
"Sugar confectionary and jam","E06000010",1.420469529,2010
"Takeaway","E06000010",1.648478639,2010
"Tea","E06000010",0.189623224,2010
"Tobacco","E06000010",2.068514831,2010
"Vegtables","E06000010",2.880046059,2010
"Alcohol at home","E06000011",3.501017706,2010
"Alcohol away from home","E06000011",3.135020924,2010
"Bread","E06000011",1.970995178,2010
"Butter","E06000011",0.183256668,2010
"Cakes puddings and pastry","E06000011",0.9439393,2010
"Coffee","E06000011",0.29292497,2010
"Eating out","E06000011",8.693947757,2010
"Eggs","E06000011",0.297272789,2010
"Fish","E06000011",1.090311526,2010
"Fruit","E06000011",1.88379545,2010
"Milk products","E06000011",2.852402974,2010
"Non alcoholic drinks","E06000011",1.329519345,2010
"Oils and fats","E06000011",0.364161244,2010
"Other","E06000011",1.264285833,2010
"Pasta","E06000011",0.175844075,2010
"Poultry","E06000011",0.867170865,2010
"Processed and Other Meat","E06000011",0.007127575,2010
"Processed Meat","E06000011",2.991212809,2010
"Red Meat","E06000011",1.410015098,2010
"Rice","E06000011",0.1289767,2010
"Sauces and spices","E06000011",0.08767965,2010
"Sugar confectionary and jam","E06000011",1.585454123,2010
"Takeaway","E06000011",1.596167959,2010
