"","Group.1","Group.2","x","year"
"134","Butter","E06000006",0.164435922,2010
"135","Cakes puddings and pastry","E06000006",0.908084942,2010
"136","Coffee","E06000006",0.271719533,2010
"137","Eating out","E06000006",8.100695868,2010
"138","Eggs","E06000006",0.278023529,2010
"139","Fish","E06000006",0.969910815,2010
"140","Fruit","E06000006",1.692863888,2010
"141","Milk products","E06000006",2.7389496,2010
"142","Non alcoholic drinks","E06000006",1.328595958,2010
"143","Oils and fats","E06000006",0.344717649,2010
"144","Other","E06000006",1.224626334,2010
"145","Pasta","E06000006",0.180292977,2010
"146","Poultry","E06000006",0.83193966,2010
"147","Processed and Other Meat","E06000006",0.006113371,2010
"148","Processed Meat","E06000006",2.886395748,2010
"149","Red Meat","E06000006",1.280878464,2010
"150","Rice","E06000006",0.123693233,2010
"151","Sauces and spices","E06000006",0.080160545,2010
"152","Sugar confectionary and jam","E06000006",1.524388718,2010
"153","Takeaway","E06000006",1.668528999,2010
"154","Tea","E06000006",0.206543279,2010
"155","Tobacco","E06000006",2.054964847,2010
"156","Vegtables","E06000006",3.134807297,2010
"157","Alcohol at home","E06000007",3.377161749,2010
"158","Alcohol away from home","E06000007",3.23142378,2010
"159","Bread","E06000007",1.900278681,2010
"160","Butter","E06000007",0.166413314,2010
"161","Cakes puddings and pastry","E06000007",0.915636233,2010
"162","Coffee","E06000007",0.272218601,2010
"163","Eating out","E06000007",8.823801316,2010
"164","Eggs","E06000007",0.281306973,2010
"165","Fish","E06000007",1.012033729,2010
"166","Fruit","E06000007",1.777819493,2010
"167","Milk products","E06000007",2.747322587,2010
"168","Non alcoholic drinks","E06000007",1.340233864,2010
"169","Oils and fats","E06000007",0.344018076,2010
"170","Other","E06000007",1.240074838,2010
"171","Pasta","E06000007",0.182841586,2010
"172","Poultry","E06000007",0.841608006,2010
"173","Processed and Other Meat","E06000007",0.007278096,2010
"174","Processed Meat","E06000007",2.850719338,2010
"175","Red Meat","E06000007",1.29894671,2010
"176","Rice","E06000007",0.13400878,2010
"177","Sauces and spices","E06000007",0.085217139,2010
"178","Sugar confectionary and jam","E06000007",1.541458776,2010
"179","Takeaway","E06000007",1.715513148,2010
"180","Tea","E06000007",0.20923663,2010
"181","Tobacco","E06000007",1.879308625,2010
"182","Vegtables","E06000007",3.219148528,2010
"183","Alcohol at home","E06000008",2.554924194,2010
"184","Alcohol away from home","E06000008",2.361857589,2010
"185","Bread","E06000008",1.669548651,2010
"186","Butter","E06000008",0.138297301,2010
"187","Cakes puddings and pastry","E06000008",0.782387658,2010
"188","Coffee","E06000008",0.227319073,2010
"189","Eating out","E06000008",7.312985178,2010
"190","Eggs","E06000008",0.256306493,2010
"191","Fish","E06000008",0.870911003,2010
"192","Fruit","E06000008",1.623734425,2010
"193","Milk products","E06000008",2.435607079,2010
"194","Non alcoholic drinks","E06000008",1.250276094,2010
"195","Oils and fats","E06000008",0.336729848,2010
"196","Other","E06000008",1.109130205,2010
"197","Pasta","E06000008",0.170375757,2010
"198","Poultry","E06000008",0.802741705,2010
"199","Processed and Other Meat","E06000008",0.013636682,2010
"200","Processed Meat","E06000008",2.314936011,2010
"201","Red Meat","E06000008",1.168336505,2010
"202","Rice","E06000008",0.19115782,2010
"203","Sauces and spices","E06000008",0.093690198,2010
"204","Sugar confectionary and jam","E06000008",1.351217321,2010
"205","Takeaway","E06000008",1.617802335,2010
"206","Tea","E06000008",0.181289121,2010
"207","Tobacco","E06000008",1.724609786,2010
"208","Vegtables","E06000008",2.87065914,2010
"209","Alcohol at home","E06000009",3.162052828,2010
"210","Alcohol away from home","E06000009",2.883720749,2010
"211","Bread","E06000009",1.917577533,2010
"212","Butter","E06000009",0.170155816,2010
"213","Cakes puddings and pastry","E06000009",0.917906854,2010
"214","Coffee","E06000009",0.277529991,2010
"215","Eating out","E06000009",7.738508507,2010
"216","Eggs","E06000009",0.28259394,2010
"217","Fish","E06000009",0.987334105,2010
"218","Fruit","E06000009",1.712285891,2010
"219","Milk products","E06000009",2.766526613,2010
"220","Non alcoholic drinks","E06000009",1.311477771,2010
"221","Oils and fats","E06000009",0.355171259,2010
"222","Other","E06000009",1.222277769,2010
"223","Pasta","E06000009",0.174744331,2010
"224","Poultry","E06000009",0.83402558,2010
"225","Processed and Other Meat","E06000009",0.005772636,2010
"226","Processed Meat","E06000009",2.92393334,2010
"227","Red Meat","E06000009",1.311143573,2010
"228","Rice","E06000009",0.127008711,2010
"229","Sauces and spices","E06000009",0.082506632,2010
"230","Sugar confectionary and jam","E06000009",1.533383902,2010
"231","Takeaway","E06000009",1.633844958,2010
"232","Tea","E06000009",0.213195514,2010
"233","Tobacco","E06000009",2.121202378,2010
"234","Vegtables","E06000009",3.122021877,2010
"235","Alcohol at home","E06000010",2.951968912,2010
"236","Alcohol away from home","E06000010",2.882365062,2010
"237","Bread","E06000010",1.769238925,2010
"238","Butter","E06000010",0.149684409,2010
"239","Cakes puddings and pastry","E06000010",0.846958376,2010
"240","Coffee","E06000010",0.245649531,2010
"241","Eating out","E06000010",7.597886226,2010
"242","Eggs","E06000010",0.257462744,2010
"243","Fish","E06000010",0.881109407,2010
"244","Fruit","E06000010",1.54166534,2010
"245","Milk products","E06000010",2.537775647,2010
"246","Non alcoholic drinks","E06000010",1.261158664,2010
"247","Oils and fats","E06000010",0.324835301,2010
"248","Other","E06000010",1.141821702,2010
"249","Pasta","E06000010",0.171523192,2010
"250","Poultry","E06000010",0.776137556,2010
"251","Processed and Other Meat","E06000010",0.005431826,2010
"252","Processed Meat","E06000010",2.66880943,2010
"253","Red Meat","E06000010",1.166242974,2010
"254","Rice","E06000010",0.123491938,2010
"255","Sauces and spices","E06000010",0.076532645,2010
"256","Sugar confectionary and jam","E06000010",1.420469529,2010
"257","Takeaway","E06000010",1.648478639,2010
"258","Tea","E06000010",0.189623224,2010
"259","Tobacco","E06000010",2.068514831,2010
"260","Vegtables","E06000010",2.880046059,2010
"261","Alcohol at home","E06000011",3.501017706,2010
"262","Alcohol away from home","E06000011",3.135020924,2010
"263","Bread","E06000011",1.970995178,2010
"264","Butter","E06000011",0.183256668,2010
"265","Cakes puddings and pastry","E06000011",0.9439393,2010
"266","Coffee","E06000011",0.29292497,2010
"267","Eating out","E06000011",8.693947757,2010
"268","Eggs","E06000011",0.297272789,2010
"269","Fish","E06000011",1.090311526,2010
"270","Fruit","E06000011",1.88379545,2010
"271","Milk products","E06000011",2.852402974,2010
"272","Non alcoholic drinks","E06000011",1.329519345,2010
"273","Oils and fats","E06000011",0.364161244,2010
"274","Other","E06000011",1.264285833,2010
"275","Pasta","E06000011",0.175844075,2010
"276","Poultry","E06000011",0.867170865,2010
"277","Processed and Other Meat","E06000011",0.007127575,2010
"278","Processed Meat","E06000011",2.991212809,2010
"279","Red Meat","E06000011",1.410015098,2010
"280","Rice","E06000011",0.1289767,2010
"281","Sauces and spices","E06000011",0.08767965,2010
"282","Sugar confectionary and jam","E06000011",1.585454123,2010
"283","Takeaway","E06000011",1.596167959,2010
"284","Tea","E06000011",0.225604055,2010
"285","Tobacco","E06000011",1.854703691,2010
"286","Vegtables","E06000011",3.322584765,2010
"287","Alcohol at home","E06000012",3.165087669,2010
